Id,Account Number/Year/ Prd.,Source,Doc. Date,Description,Reference,Seq.,Batch-Entry,Debits,Credits,TAN Number,National Account Code
3,1,AR-AD,30-Apr-20,TBFDL-07-07-Trontek Giga Power Llp,TL07T2021/7-TDS,912,1055-3,1662.36,,AGRV10182E,4435
22,1,AR-AD,06-Apr-20,06480-Marathon Electric Motors(India) Limited-Marathon Elect,HSBCN20097063192-06-04-20,1135,1294-1,,317.75,AGRV10182E,4435
24,1,AR-AD,15-Apr-20,NPNDL-29-05-Neel Metal Products Ltd-Neel Metal Products Ltd,00022183463461DC-15-04-20,2325,2568-1,,11751.83,AGRV10182E,4435
25,1,AR-AD,08-Apr-20,01589-Kotak Mahindra Asset Management Company Ltd-Kotak Mahi,KAMO-4256967-08-04-20,2568,2824-1,,18632,AGRV10182E,4435
26,2,AR-PY,22-May-20,--,000CMS1486459244-36101102-Misc.Reciept-,2598,2859-12,,5875,AGRV10182E,4435
27,1,AR-PY,06-Apr-20,--HDFC Interest on FD No. 50300196324590 @ 6.25%,3304220200406760-36101101-TDS on HDFC Interest on FD No. 503,1052,1207-1,70.18,,AGRV10182E,4435
28,1,AR-PY,06-Apr-20,--HDFC Interest on FD No. 50300196325232 @ 6.25%,3304220200406760-36101101-Interest on HDFC Interest on FD No,1053,1208-1,46.79,,AGRV10182E,4435
29,1,AR-PY,06-Apr-20,--HDFC Interest on FD No. 50300196325321 @ 6.25%,3304220200406760-36101101-Interest on HDFC Interest on FD No,1054,1209-1,46.79,,AGRV10182E,4435
30,1,AR-PY,06-Apr-20,--HDFC Interest on FD No. 50300196325682 @ 6.25%,3304220200406760-36101101-TDS on HDFC Interest on FD No. 503,1055,1210-1,46.79,,AGRV10182E,4435
31,1,AR-PY,06-Apr-20,--HDFC Interest on FD No. 50300196325410 @ 6.25%,3304220200406760-36101101-TDS on HDFC Interest on FD No. 503,1056,1211-1,70.18,,AGRV10182E,4435
32,1,AR-PY,06-Apr-20,--HDFC Interest on FD No. 50300196325512 @ 6.25%,3304220200406760-36101101-TDS on HDFC Interest on FD No. 503,1057,1212-1,93.58,,AGRV10182E,4435
33,1,AR-PY,06-Apr-20,--HDFC Interest on FD No. 50300196325614 @ 6.25%,3304220200406760-36101101-Interest on HDFC Interest on FD No,1058,1213-1,27.48,,AGRV10182E,4435
34,1,AR-PY,16-Apr-20,--HDFC Interest on FD No. 50300197739770 @ 6.25%,3304220200416780-36101101-TDS on HDFC Interest on FD No. 503,1059,1214-1,58.02,,AGRV10182E,4435
35,1,AR-PY,16-Apr-20,--HDFC Interest on FD No. 50300246514401 @ 7.30%,3304220200416780-36101101-TDS on HDFC Interest on FD No. 503,1060,1215-1,3690.09,,AGRV10182E,4435
36,1,GL-JE,30-Apr-20,Accrued Interest Added back to Principal Fd # 50300193946991,Accrued Interest Added back to Principal Fd # 50300193946991,2907,3058-1,506,,AGRV10182E,4435
37,1,GL-JE,30-Apr-20,Accrued Interest Added back to Principal Fd # 35609486159,Accrued Interest Added back to Principal Fd # 35609486159,2907,3058-2,7715,,AGRV10182E,4435
38,1,GL-JE,30-Apr-20,Accrued Interest Added back to Principal Fd # 35973662888,Accrued Interest Added back to Principal Fd # 35973662888,2907,3058-3,2785,,AGRV10182E,4435
39,1,GL-JE,30-Apr-20,Accrued Interest Added back to Principal Fd # 35626416975,Accrued Interest Added back to Principal Fd # 35626416975,2907,3058-4,9173,,AGRV10182E,4435
